DateAndTime,Load,Grid,PV,Battery
"2022-11-29 08:47:44.823105",1.78,1.78,0.0,0.0
"2022-11-29 08:49:59.038259",1.05,1.05,0.0,0.0
"2022-11-29 08:52:01.585321",0.95,0.95,0.0,0.0
"2022-11-29 08:54:08.987158",1.05,1.05,0.0,0.0
"2022-11-29 08:56:11.521581",1.09,1.09,0.0,0.0
"2022-11-29 08:57:20.971020",4.14,4.14,0.0,0.0
"2022-11-29 08:59:35.627017",4.23,4.23,0.0,0.0
"2022-11-29 09:01:38.169280",1.41,1.41,0.0,0.0
"2022-11-29 09:03:40.870044",1.41,1.41,0.0,0.0
"2022-11-29 09:05:43.410882",1.44,1.44,0.0,0.0
"2022-11-29 09:07:46.080616",1.42,1.42,0.0,0.0
"2022-11-29 09:09:48.800165",1.45,1.45,0.0,0.0
"2022-11-29 09:11:51.356322",4.24,4.24,0.0,0.0
"2022-11-29 09:13:54.730299",4.25,4.25,0.0,0.0
"2022-11-29 09:15:57.388687",4.23,4.23,0.0,0.0
"2022-11-29 09:17:59.961192",1.43,1.43,0.0,0.0
"2022-11-29 09:20:02.752628",5.53,5.53,0.0,0.0
"2022-11-29 09:22:05.389151",5.53,5.52,0.01,0.0
"2022-11-29 09:24:08.044385",1.42,1.36,0.06,0.0
"2022-11-29 09:26:10.729024",1.44,1.31,0.13,0.0
"2022-11-29 09:28:13.254796",4.26,4.1,0.16,0.0
"2022-11-29 09:30:16.024734",1.4,1.27,0.13,0.0
"2022-11-29 09:32:18.811412",1.4,1.28,0.12,0.0
"2022-11-29 09:34:21.476607",1.19,1.06,0.13,0.0
"2022-11-29 09:36:24.184785",0.96,0.85,0.11,0.0
"2022-11-29 09:38:26.698283",0.91,0.79,0.12,0.0
"2022-11-29 09:40:29.220168",3.82,3.73,0.09,0.0
"2022-11-29 09:42:31.878309",3.86,3.78,0.08,0.0
"2022-11-29 09:44:34.618777",7.95,7.87,0.08,0.0
"2022-11-29 09:46:37.291100",5.49,5.42,0.07,0.0
"2022-11-29 09:48:39.970115",1.38,1.28,0.1,0.0
"2022-11-29 09:50:42.885243",1.38,1.28,0.1,0.0
"2022-11-29 09:52:45.729707",1.39,1.3,0.09,0.0
"2022-11-29 09:54:48.273837",1.41,1.29,0.12,0.0
"2022-11-29 09:56:50.973098",1.42,1.25,0.17,0.0
"2022-11-29 09:58:53.626194",1.41,1.29,0.12,0.0
"2022-11-29 10:00:56.375229",1.44,1.33,0.11,0.0
"2022-11-29 10:02:59.023149",1.43,1.3,0.13,0.0
"2022-11-29 10:05:01.789129",1.44,1.17,0.27,0.0
"2022-11-29 10:07:04.330997",1.43,1.19,0.24,0.0
"2022-11-29 10:09:06.996462",1.48,1.13,0.35,0.0
"2022-11-29 10:11:09.570205",4.39,4.02,0.37,0.0
"2022-11-29 10:13:12.440939",1.6,1.23,0.37,0.0
"2022-11-29 10:15:15.252624",1.57,1.22,0.35,0.0
"2022-11-29 10:17:17.767576",1.56,1.23,0.33,0.0
"2022-11-29 10:19:20.473076",5.7,5.41,0.29,0.0
"2022-11-29 10:21:23.071695",5.43,5.18,0.25,0.0
"2022-11-29 10:23:25.597207",1.64,1.41,0.23,0.0
"2022-11-29 10:25:28.591977",0.79,0.56,0.23,0.0
"2022-11-29 10:27:31.247146",1.15,0.89,0.26,0.0
"2022-11-29 10:29:33.787765",1.16,0.94,0.22,0.0
"2022-11-29 10:31:36.369162",1.23,1.03,0.2,0.0
"2022-11-29 10:33:40.335833",1.48,1.29,0.19,0.0
"2022-11-29 10:35:43.020838",1.5,1.38,0.12,0.0
"2022-11-29 10:37:45.519363",1.53,1.41,0.12,0.0
"2022-11-29 10:39:48.091064",1.52,1.42,0.1,0.0
"2022-11-29 10:41:50.752955",1.53,1.42,0.11,0.0
"2022-11-29 10:43:53.488574",1.53,1.41,0.12,0.0
"2022-11-29 10:45:56.079963",1.54,1.43,0.11,0.0
"2022-11-29 10:47:58.756281",1.54,1.42,0.12,0.0
"2022-11-29 10:50:01.686855",1.43,1.32,0.11,0.0
"2022-11-29 10:52:04.385394",1.44,1.32,0.12,0.0
"2022-11-29 10:54:06.973215",1.44,1.33,0.11,0.0
"2022-11-29 11:10:07.738832",2.5,2.33,0.17,0.0
